id,name,top_match,score_admu,score_dlsu,score_up,score_ust,created_at
08e3fb91-1fd1-4e44-9837-47b03450b4da,"Althea Villanueva",ust,160,189,307,455,2026-05-07T22:09:31.749Z
df561435-6605-489c-bfb0-66dc1e55815c,"Ysabel Torres",dlsu,279,371,229,276,2026-05-07T22:18:57.350Z
1328647f-a86f-4988-a7a3-de052d55e8f1,"Andrea Salazar",dlsu,287,503,166,230,2026-05-08T00:55:28.864Z
06a3cff1-1db3-4277-8a62-19ce3b476d39,"Aaron Fernandez",up,236,167,465,290,2026-05-08T01:45:34.914Z
ead60c4e-a371-4c1a-a738-cabd862073a3,"Migs Lim",admu,415,340,193,201,2026-05-08T11:48:02.184Z
6e877ea2-65a4-42dd-8f52-a4ba62d09490,"Paolo Reyes",admu,367,333,197,226,2026-05-08T15:29:12.752Z
f5b0acb0-9061-4f25-96fd-a7a0cf53ae9f,"Yanna Manalo",ust,175,173,315,413,2026-05-08T16:17:59.429Z
1010ac19-c0fa-4217-9ea6-976543576506,"Bea Rivera",ust,186,176,299,452,2026-05-08T21:31:12.142Z
c80051ff-f160-4426-b81e-a8dd8ea5ae06,"Angel Aguilar",up,243,195,497,235,2026-05-08T21:35:17.922Z
c6c01191-49a4-4c27-8754-91f8f187858d,"Josh Bactol",dlsu,341,431,206,201,2026-05-08T21:53:24.897Z
2de84b36-7330-4729-a79b-ab7ff0257a51,"Hannah Santos",ust,278,259,239,317,2026-05-08T23:27:11.588Z
df088e49-83a2-4675-8730-d5c3762bbdb0,"Rafael Mendoza",admu,413,322,207,198,2026-05-09T05:39:05.256Z
bc49d523-5c03-422c-a4b0-c486e76023a4,"Danica Garcia",up,231,161,534,247,2026-05-09T18:31:01.993Z
57c8d0ba-46ad-462c-8e3f-f436943d4c66,"Renz Bautista",up,256,179,406,242,2026-05-09T21:44:28.733Z
37dc96eb-dd23-4881-8ba8-64ad33dfa5a1,"Vince Garcia",ust,160,188,313,419,2026-05-09T23:52:28.646Z
f18f92fa-12b7-4a2f-b68e-0662a6435c1d,"Camille Villanueva",dlsu,289,430,183,229,2026-05-10T04:42:18.703Z
30b0a598-f9ce-4842-9aa0-8641949136f9,"Ivan Cruz",up,213,157,511,248,2026-05-10T07:34:18.720Z
f48b429e-7915-458e-a9e7-6e027dc22ba2,"Marco Sy",dlsu,256,460,202,220,2026-05-10T17:18:04.270Z
22743113-bbf3-40d0-abfc-6218cb035bfb,"Josh Rivera",admu,323,270,343,202,2026-05-11T02:35:40.162Z
079f1479-2630-4f16-b2f2-5a31f9fba6f7,"Renz Tan",ust,247,212,336,398,2026-05-11T07:18:10.235Z
1a987e9e-6f56-4041-b73d-bb1d2e952058,"Althea Aquino",dlsu,299,494,158,214,2026-05-11T09:52:18.369Z
1bbc0b4d-f2ef-4e1e-bdb8-dde20fcc144a,"Trisha Manalo",dlsu,271,433,238,219,2026-05-11T15:19:35.910Z
ef78bdbf-8e1d-4414-94de-be6613c5c5bf,"Nadine Castillo",admu,400,328,165,208,2026-05-12T10:17:06.067Z
e8110c5d-6a43-494d-b2f0-d450a2001706,"Kyle Cruz",up,229,185,470,229,2026-05-12T12:09:11.585Z
15aec476-a030-4e0f-bbc1-f8ccf373e910,"Ram Bautista",admu,437,280,228,168,2026-05-12T23:40:28.312Z
e1d46013-7533-46f2-a785-fe43b4fea0ae,"Kate Torres",admu,458,294,231,190,2026-05-13T01:11:51.757Z
abf247cf-9311-4e6c-8fe4-192208a5742c,"Marco del Rosario",up,232,176,515,238,2026-05-13T06:59:53.696Z
3ee2fc41-53ec-4b08-863b-d11362906952,"Andrea Navarro",admu,452,294,230,192,2026-05-13T07:41:43.473Z
2132e17a-bb66-4d8c-9a0f-f4f6a2828b22,"Patricia Chua",ust,243,199,279,330,2026-05-13T09:53:18.217Z
617779b5-317c-4a43-bd8b-98ebb91ab635,"Marco Domingo",dlsu,286,464,181,221,2026-05-13T15:02:42.009Z
15014793-aa48-4e61-850d-2c25c238350e,"Kate Santos",up,204,159,516,255,2026-05-13T18:49:57.151Z
841fb928-b008-4028-9723-df3ef9e12363,"Marco Gutierrez",admu,428,294,270,194,2026-05-14T04:40:21.790Z
0124d7b6-dad5-4fb1-b63a-dd2b41c766bf,"Ella Padilla",ust,190,213,264,464,2026-05-14T11:00:22.848Z
e0c51ce1-c33c-4e7b-aff1-5ac652d87034,"Sofia Ocampo",up,276,194,459,202,2026-05-14T13:44:27.476Z
ee52077f-0dc6-4a98-a63d-f4fe6e30f139,"Ysabel del Rosario",dlsu,305,417,179,233,2026-05-14T13:55:41.698Z
c721da7e-bb43-4894-b9ed-f04f6f79bc2f,"Migs Lim",admu,334,332,211,218,2026-05-14T16:30:04.799Z
868fc40b-98a4-4bbe-ae6a-305f6213b60a,"Trisha Mendoza",dlsu,279,490,144,225,2026-05-14T16:31:03.233Z
da1f37b7-c5ab-4a51-b8b3-03d773c926e4,"Nadine Gutierrez",admu,436,310,210,203,2026-05-14T17:43:21.670Z
2fea4b85-6efa-4154-843e-ed7e38bcc5f0,"Cedric Fernandez",up,250,179,486,264,2026-05-14T19:03:02.320Z
6bca1cad-6574-4476-a82f-71ac9501b8be,"Kyle Chua",up,261,227,437,191,2026-05-15T06:30:17.180Z
e8cf911b-d703-4ab5-a532-6a00d9c6536f,"Sofia Padilla",admu,475,305,195,170,2026-05-15T16:36:13.214Z
d155ca82-9d07-4042-b339-bbe3fc0cfbe0,"Kate Salazar",ust,186,209,289,452,2026-05-15T17:49:28.599Z
aa739250-f8c5-4541-bcf7-72f087af264f,"Paolo Dizon",admu,398,296,231,211,2026-05-15T17:59:28.659Z
c183b4f0-fb63-4479-a24f-ee6c8406cd74,"Miguel Torres",dlsu,311,357,237,249,2026-05-15T19:48:25.703Z
6a7b2fee-9333-430e-8cb9-474aaa9fe023,"Ivan Aquino",admu,485,303,200,153,2026-05-16T13:35:58.978Z
62c455a1-8214-40fc-a527-67066557fb95,"Juan Ocampo",admu,450,344,212,179,2026-05-16T22:42:03.152Z
b86c4316-a951-457f-b27c-a804481fc5fc,"Althea Reyes",admu,450,293,196,201,2026-05-17T06:03:44.108Z
7d2f7750-f5f9-4258-ac8a-014125e0cced,"Rafael Padilla",up,243,215,478,220,2026-05-17T23:43:15.804Z
26252178-02f4-4f48-90e7-e4999f22ec3d,"Lorenzo Aquino",up,227,177,503,264,2026-05-18T03:45:35.329Z
99c37b20-f230-4395-9ee3-711271dfe12c,"Bea Fernandez",up,249,184,447,262,2026-05-18T08:57:27.581Z
aab6d3fd-a522-4bdc-9342-e39ddc4e4b5f,"Bea Sy",up,240,172,484,231,2026-05-18T10:06:28.813Z
1a64258a-f8ff-4997-9771-ae0a085d4025,"Marco Flores",admu,451,305,210,189,2026-05-18T17:47:18.305Z
ad4ac77a-a17c-45bf-a5fd-e96a3f96c7a6,"Kyle Ocampo",admu,430,312,187,207,2026-05-19T01:06:52.910Z
4730acda-aedf-49cb-804d-b3876f187534,"Nicole Mendoza",admu,399,288,242,216,2026-05-19T03:17:49.943Z
e679eaab-46fd-4edc-911c-a6bf36b2e3d2,"Althea Lim",up,255,201,487,186,2026-05-19T16:37:34.252Z
0e6c1d91-ce15-4d0c-9fec-fa4965a0a8fa,"Rafael Ocampo",up,223,187,448,236,2026-05-19T16:53:50.120Z
baa7b9c5-cd6a-4fac-935f-a378c27f10c8,"Isabella Salazar",dlsu,292,504,112,221,2026-05-19T22:14:05.084Z
c4f19753-7479-4c04-b05f-fb95b6ac791c,"Marco Aquino",dlsu,265,408,189,248,2026-05-20T02:07:33.527Z
f1616c42-017f-48c3-b953-ed6b880e95b9,"Enzo Gutierrez",admu,355,277,241,251,2026-05-20T08:58:05.244Z
6a80d135-1fe5-4849-aeb9-23d2d20a8b1f,"Ysabel Gutierrez",up,249,147,510,225,2026-05-20T09:34:59.402Z
42ee8004-ba49-4d0d-b389-612d3864fdc8,"Patricia Reyes",ust,176,201,296,446,2026-05-20T18:31:59.151Z
8126cb4b-2c59-49da-8379-1149e1ab3cbe,"Nadine Sy",admu,412,271,269,182,2026-05-21T00:32:32.982Z
0ca7a03f-aaba-4386-a8bc-0f8d22a3ebf0,"Danica Mendoza",ust,219,251,255,417,2026-05-21T06:24:44.879Z
c5e47751-fc41-4d38-9b10-adf02b56f187,"Juan del Rosario",admu,417,314,171,211,2026-05-21T06:31:53.394Z
31e76399-bff2-49a7-a54d-3139e2b029d2,"Reign Garcia",admu,451,316,193,163,2026-05-21T10:48:00.454Z
170946fa-6eb7-44c2-828e-270fb02dfd43,"Miguel Gutierrez",up,237,197,476,265,2026-05-21T11:03:35.498Z
d5729d96-5e15-4afc-ac10-f35839789951,"Lorenzo Ramos",admu,335,271,272,221,2026-05-21T14:03:47.323Z
0c13ae6f-419e-4b7e-9252-8d68abca884f,"Renz Padilla",admu,353,306,176,243,2026-05-21T15:21:41.451Z
ab1b1ccc-5a6e-4897-9ecb-cc99218b86f2,"Yanna Reyes",admu,461,338,184,172,2026-05-21T15:45:06.318Z
606d9a51-35cc-4c7f-bbe4-88141df88d25,"Miguel Salazar",admu,435,298,250,177,2026-05-21T18:33:32.293Z
69170c00-aaaa-490f-b7b5-292654179b99,"Miguel Dizon",admu,358,306,284,267,2026-05-22T13:15:18.044Z
4bc57b94-a487-4436-8765-7c3accfb7b68,"Nadine Navarro",up,240,185,463,278,2026-05-22T13:24:00.174Z
bd3d2c34-c349-49bd-ba89-baa16e607a28,"Rafael Santos",admu,451,311,201,168,2026-05-22T16:49:52.162Z
edf6a127-2b6f-4ee7-830e-c12306eb964c,"Trisha del Rosario",admu,465,295,224,191,2026-05-22T17:29:27.606Z
ba82906a-ae8a-4214-9cad-1c7cc24f3412,"Migs Chua",ust,211,255,224,407,2026-05-23T01:19:44.644Z
1639234e-b840-446b-b59c-a2477b3a8ae7,"Ram Aquino",dlsu,326,457,166,231,2026-05-23T06:27:15.006Z
e92a8159-18d1-430e-a895-5555cc2272fb,"Camille Flores",up,262,147,461,246,2026-05-23T12:44:58.438Z
612578ff-1214-4842-ba87-53d096ccfa87,"Rafael Manalo",dlsu,292,436,184,232,2026-05-23T14:11:58.638Z
f113798e-6723-4560-a710-9f8475a4285f,"Gabriel Chua",dlsu,327,512,119,181,2026-05-23T17:10:39.930Z
1892251a-cb35-4963-9ec9-79987cc6115c,"Renz Manalo",dlsu,299,375,236,250,2026-05-23T18:48:02.877Z
24a7d7b0-b718-4bbe-a285-c50960c40975,"Sofia Navarro",admu,434,336,157,221,2026-05-24T04:43:08.326Z
a34842f2-d4c1-4341-a5d3-f83b079ef0a2,"Ella Padilla",up,208,239,421,252,2026-05-24T05:41:50.454Z
7a4e1953-f7c6-4733-8748-95e494660ac6,"Renz Aguilar",dlsu,269,486,200,239,2026-05-24T05:43:06.866Z
28383d47-4cfd-4553-9931-51ebe8f19626,"Hannah Reyes",admu,377,318,198,221,2026-05-24T12:52:20.535Z
7480e818-349b-400a-9798-45420831d901,"Bea Santos",ust,195,204,282,432,2026-05-24T16:14:36.790Z
d2b387e5-d359-4ad9-9434-7591ca653f23,"Trisha Gutierrez",admu,464,302,208,177,2026-05-24T22:08:51.532Z
4e61c8a3-b7c7-46cc-b903-e3f8ffa52108,"Andrea Aguilar",up,215,151,567,258,2026-05-25T00:11:44.576Z
56fd9eca-667b-4cc2-955d-0f2f86c8e1bd,"Ram Rivera",dlsu,280,505,166,222,2026-05-26T01:52:58.838Z
a403802a-14ad-489f-880a-1b6603e0d75b,"Patricia Castillo",admu,327,269,261,249,2026-05-26T03:06:48.517Z
704ab951-8b49-45f1-b17e-10c2c3d7f3b1,"Rafael Bactol",up,205,167,545,267,2026-05-26T04:39:05.316Z
405206c8-25dc-4429-b574-bf97a48b0f28,"Ram Tan",ust,223,209,305,397,2026-05-26T11:16:49.361Z
a53375ff-d5ab-4657-a43c-8c89e47522fa,"Josh Cruz",up,269,233,398,199,2026-05-26T17:36:05.695Z
06f67516-fd90-4aed-9da2-22146aa4e98c,"Migs Ramos",up,260,189,506,231,2026-05-27T14:12:07.031Z
