id,name,top_match,university,raw_score,is_top_match,created_at
08e3fb91-1fd1-4e44-9837-47b03450b4da,"Althea Villanueva",ust,admu,160,0,2026-05-07T22:09:31.749Z
08e3fb91-1fd1-4e44-9837-47b03450b4da,"Althea Villanueva",ust,dlsu,189,0,2026-05-07T22:09:31.749Z
08e3fb91-1fd1-4e44-9837-47b03450b4da,"Althea Villanueva",ust,up,307,0,2026-05-07T22:09:31.749Z
08e3fb91-1fd1-4e44-9837-47b03450b4da,"Althea Villanueva",ust,ust,455,1,2026-05-07T22:09:31.749Z
df561435-6605-489c-bfb0-66dc1e55815c,"Ysabel Torres",dlsu,admu,279,0,2026-05-07T22:18:57.350Z
df561435-6605-489c-bfb0-66dc1e55815c,"Ysabel Torres",dlsu,dlsu,371,1,2026-05-07T22:18:57.350Z
df561435-6605-489c-bfb0-66dc1e55815c,"Ysabel Torres",dlsu,up,229,0,2026-05-07T22:18:57.350Z
df561435-6605-489c-bfb0-66dc1e55815c,"Ysabel Torres",dlsu,ust,276,0,2026-05-07T22:18:57.350Z
1328647f-a86f-4988-a7a3-de052d55e8f1,"Andrea Salazar",dlsu,admu,287,0,2026-05-08T00:55:28.864Z
1328647f-a86f-4988-a7a3-de052d55e8f1,"Andrea Salazar",dlsu,dlsu,503,1,2026-05-08T00:55:28.864Z
1328647f-a86f-4988-a7a3-de052d55e8f1,"Andrea Salazar",dlsu,up,166,0,2026-05-08T00:55:28.864Z
1328647f-a86f-4988-a7a3-de052d55e8f1,"Andrea Salazar",dlsu,ust,230,0,2026-05-08T00:55:28.864Z
06a3cff1-1db3-4277-8a62-19ce3b476d39,"Aaron Fernandez",up,admu,236,0,2026-05-08T01:45:34.914Z
06a3cff1-1db3-4277-8a62-19ce3b476d39,"Aaron Fernandez",up,dlsu,167,0,2026-05-08T01:45:34.914Z
06a3cff1-1db3-4277-8a62-19ce3b476d39,"Aaron Fernandez",up,up,465,1,2026-05-08T01:45:34.914Z
06a3cff1-1db3-4277-8a62-19ce3b476d39,"Aaron Fernandez",up,ust,290,0,2026-05-08T01:45:34.914Z
ead60c4e-a371-4c1a-a738-cabd862073a3,"Migs Lim",admu,admu,415,1,2026-05-08T11:48:02.184Z
ead60c4e-a371-4c1a-a738-cabd862073a3,"Migs Lim",admu,dlsu,340,0,2026-05-08T11:48:02.184Z
ead60c4e-a371-4c1a-a738-cabd862073a3,"Migs Lim",admu,up,193,0,2026-05-08T11:48:02.184Z
ead60c4e-a371-4c1a-a738-cabd862073a3,"Migs Lim",admu,ust,201,0,2026-05-08T11:48:02.184Z
